Diabetes mellitus with hyperosmolar coma |11173|Metabolic Disease
Lumbosacral neuritis |187644|CNS
Multi-infarct dementia |13213|CNS
Senile cataract |104070|Sensory
Stress fracture |5063|Musculoskeletal
Toxic diffuse goiter |5344|Metabolic Disease
Viral hepatitis type C |36414|Infectious Disease
Cardiomyopathy |5793|Cardiovascular
Degenerative joint disease of shoulder region |18128|Musculoskeletal
Hypertensive heart AND renal disease |7192|Renal
Immunoglobulin E-mediated allergic asthma |82715|Upper Respiratory
Incipient cataract |8700|Sensory
Superficial injury of foot |5487|Musculoskeletal
Thrombosed hemorrhoids |6587|CNS
Cervical intraepithelial neoplasia |6862|Genital Tract
Enthesopathy of ankle AND/OR tarsus |46152|Musculoskeletal
Malignant hypertensive heart disease |6965|Cardiovascular
Chondromalacia |11770|Cardiovascular
Chronic frontoethmoidal sinusitis |8001|Upper Respiratory
Duodenitis |29435|GI
Gastroesophageal reflux disease with esophagitis |128480|GI
Hypertensive heart disease without congestive heart failure |48637|Cardiovascular
Pathological fracture |7241|Musculoskeletal
Primary malignant neoplasm of breast |6493|Cancer
Viral lower respiratory infection |6883|Infectious Disease
Acute myocardial infarction |5639|Cardiovascular
Age-related macular degeneration |22149|Sensory
Juvenile osteochondrosis of lower extremity |6951|Musculoskeletal
Osteoarthritis |391938|Musculoskeletal
Postural kyphosis |5027|Musculoskeletal
Degenerative joint disease of pelvis |5831|Musculoskeletal
After-cataract |10611|Sensory
Uterine leiomyoma |6188|Urinary Tract
Goiter |5227|Metabolic Disease
Hypothyroidism |37855|Metabolic Disease
Partial epilepsy with impairment of consciousness |9369|CNS
Acute suppurative otitis media |59581|Sensory
Sinusitis |356599|Upper Respiratory
Stomatitis |5454|Upper Respiratory
Ventricular tachycardia |6565|Cardiovascular
Drug-induced cirrhosis of liver |6552|Addiction
Prolapsed lumbar intervertebral disc |105514|Musculoskeletal
Joint derangement |20877|Musculoskeletal
Malignant tumor of colon |5251|Cancer
Malignant tumor of lung |16464|Cancer
Neoplasm of stomach |6166|GI
Vaginitis |36235|Genital tract
Acute gastritis |7535|GI
Asthma without status asthmaticus |81595|Upper Respiratory
Injury of knee |11288|Musculoskeletal
Neoplasm of kidney |6425|Renal
Pancreatitis |16921|Metabolic Disease
Bilateral hearing loss |10112|Sensory
Diaphragmatic hernia |6895|Abdomen / back
Disorder of rectum |15570|GI
Hordeolum |21836|Sensory
Lupus erythematosus |23539|Musculoskeletal
Post-traumatic dementia |11238|CNS
Cyst of eyelid |10570|Sensory
Localized, secondary osteoarthritis |6649|Musculoskeletal
Peripheral circulatory disorder associated with diabetes mellitus |8017|Cardiovascular
Cellulitis and abscess of upper limb |11850|Abdomen / back
Hearing loss |29800|Sensory
Hereditary hemoglobin S |5252|Cardiovascular
Injury of elbow |8397|Musculoskeletal
Malignant tumor of neck |7379|Cancer
Perforation of tympanic membrane |7585|Sensory
Syncope |59011|Cardiovascular
Capsulitis |11415|Cardiovascular
Diabetes mellitus type 1 |12216|Metabolic Disease
Dysphagia |14353|GI
Ethmoidal sinusitis |10201|Upper Respiratory
Mitral valve regurgitation |7131|Cardiovascular
Nuclear cataract |78000|Sensory
Soft tissue lesion of shoulder region |15649|Musculoskeletal
Amblyopia |7839|Sensory
Hemiplegia as late effect of cerebrovascular disease |8833|CNS
Vulvovaginitis |137069|Genital tract
Acute respiratory disease |921147|Upper Respiratory
Cerebral arteriosclerosis |5323|Cardiovascular
Closed fracture of radius |7902|Musculoskeletal
Fasciitis |8990|Musculoskeletal
Hallux valgus |98612|Musculoskeletal
Impairment level of both eyes |6578|Sensory
Infection of skin of finger |8981|Derm
Nasal discharge |33708|Upper Respiratory
Papular eruption |7128|Derm
Squamous cell carcinoma of skin |7029|Derm
Hemiplegia of dominant side |6134|CNS
Sprain of spinal ligament |108953|Musculoskeletal
Abscess of finger |6789|Musculoskeletal
Asthma attack |22306|Upper Respiratory
Chronic type B viral hepatitis |6978|Infectious Disease
Heart valve disorder |94402|Cardiovascular
Urinary tract infectious disease |14349|Urinary Tract
Arteriosclerotic vascular disease |290732|Cardiovascular
Cellulitis of toe |33134|Musculoskeletal
Disorder of adrenal cortex |5531|CNS
External hemorrhoids |24189|CNS
Inflammation of cervix |6819|Genital Tract
Lateral cutaneous nerve of thigh lesion |5703|CNS
Tachyarrhythmia |5239|Cardiovascular
Benign prostatic hyperplasia |5129|Urinary Tract
Costal chondritis |16951|Musculoskeletal
Glaucoma |35716|Sensory
Oral mucosal viral disease |11679|Infectious Disease
Orchitis |5609|Genital Tract
Enthesopathy of pelvic region |32700|Musculoskeletal
Hypertensive disorder, systemic arterial |1222050|Cardiovascular
Atrial fibrillation |5086|Cardiovascular
Benign hypertensive heart disease with congestive cardiac failure |8128|Cardiovascular
Chronic obstructive lung disease |58440|Upper Respiratory
Diabetes mellitus type 2 |933139|Metabolic Disease
Noninfectious enteritis |5531|GI
Uterine prolapse |5102|Urinary Tract
